word,pos,rules
अनुमोदन,NN,"15,22"
अनुमोदित,,
अनुयायी,NN,
अनुरक्त,,
अनुरणनात्मक,,
अनुरणित,,
अनुरत,,
अनुराग,NN,"18,22,15"
अनुरागी,,
अनुरूप,NN,32
अनुरोध,NN,"15,22"
अनुरोधक,,
अनुरोधी,,
अनुर्वर,,
अनुलोम,,"15,22"
अनुल्लङ्घनीय,,
अनुल्लङ्घ्य,,
अनुवंश,,"15,22"
अनुवंश्य,,
अनुवक्ता,,"18,22,15"
अनुवर्ति,,
अनुवाद,NN,"18,22,15"
अनुवादक,,
अनुवादित,,
अनुवाद्य,,
अनुविभागीय,,
अनुवृत्त,,
अनुशरण,NN,"15,22"
अनुशासन,NN,"15,22"
अनुशासनप्रिय,,
अनुशासनहीन,,
अनुशासित,,
अनुशीलनकारी,,
अनुश्रुत,,
अनुष्टुप्,NN,"15,22"
अनुष्ठाता,,
अनुष्ठान,NN,"18,22,15,39"
अनुष्ठानिक,,
अनुष्ठित,,
अनुष्ण,,
अनुसन्धान,NN,"18,22,15,36"
अनुसन्धानकर्ता,,"18,22,15"
अनुसन्धानात्मक,,
अनुसन्धेय,,
अनुसरण,NN,"15,22"
अनुसार,NN,
अनुसारी,,
अनुसूचक,,
अनुसूचित,,
अनुसूची,,"18,22,15"
अनुस्मरण,,"15,22"
अनुस्मृति,,"15,22"
अनुहार,NN,"18,22,15"
अनुहारी,,
अनूढ,,
अनूढा,,
अनूदित,,
अनूप,,"18,22,15"
अनृण,,
अनृणी,,
अनृत,,
अनृतभाषी,,
अनृतवादी,,
अनेक,ADJ,33
अनेकता,,
अनेकन्,,
अनेकवचन,,"15,22"
अनेकवर्ण,,
अनेकाच्,,
अनेकानेक,,
अनेकार्थक,,
अनेकार्थी,,"15,22"
अनेकाश्रय,,
अनेकाश्रयी,,
अनेकाश्रित,,
अनेकौं,,
अनेरास्ववियु,NN,"15,22"
अनैकान्तिक,,
अनैच्छिक,,
अनैतिक,,33
अनैतिकता,,
अनैसर्गिक,,
अनौ,NN,"18,22,15"
अनौठो,ADJ,14
अनौठोचाल,,"18,22,15"
अनौठोपन,,"15,22"
अनौतिकता,,
अनौपचारिक,,
अन्खासी,,
अन्जान,NN,"18,22,15"
अन्जाम,NN,"18,22,15"
अन्ठाउन्न,NUMC,"15,22"
अन्ठाउन्नौं,,
अन्ठानब्बे,,"15,22"
अन्ठान्नब्बे,NUMC,
अन्ठान्नब्बेयौं,,
अन्डबन्ड,,
अन्डवृत्त,,"18,22,15"
अन्डस,,
अन्डा,NN,"18,22,15"
अन्डावाल,,
अन्त,AVP,
अन्त:कालीन,,
अन्तःशुल्क,,"18,22,15"
अन्तक,,
अन्तक्रिर्या,,"18,22,15"
अन्तर,ADJ,"18,22,15"
अन्तरक्याम्पस,,
अन्तरक्रिया,,"18,22,15"
अन्तरङ्ग,NN,"18,22,15"
अन्तरविरोध,,"15,22"
अन्तरस्थ,,
अन्तराल,NN,"18,22,15"
अन्तरिक्ष,NN,"18,22,15"
अन्तरिक्षयान,,"18,22,15"
अन्तरिक्ष्ययात्री,,"18,22,15"
अन्तरिम,NN,"15,22"
अन्तरी,,"18,22,15"
अन्तरीक्ष,,"15,22"
अन्तरे,ADJ,"18,22,15"
अन्तर्गत,ADV,
अन्तर्घटना,,"15,22"
अन्तर्घात,,"18,22,15"
अन्तर्घाती,,
अन्तर्जातीय,,
अन्तर्ज्वाला,,"15,22"
अन्तर्त्वचा,,"15,22"
अन्तर्दर्शी,,
अन्तर्दाह,,"15,22"
अन्तर्देशीय,,
अन्तर्ध्वंस,,"15,22"
अन्तर्निहित,,
अन्तर्प्रादेशिक,,
अन्तर्भावित,,
अन्तर्भूत,,
अन्तर्भौम,,
अन्तर्मूख,,
अन्तर्यामी,,
अन्तर्राष्ट्रवादी,,
अन्तर्राष्ट्रिय,,
अन्तर्राष्ट्रियस्तर,,"15,22"
अन्तर्राष्‍ट्रिय,,"15,22"
अन्तर्वर्ती,,
अन्तर्वार्ता,NN,"18,22,15"
अन्तर्वाष्प,,
अन्तर्वास,,"15,22"
अन्तर्विकास,,"15,22"
अन्तर्विरोध,,"18,22,15"
अन्तर्विरोधी,,
अन्तर्विष्फोटन,,"15,22"
अन्तवार्ता,,"18,22,15"
अन्तस्करण,,"15,22"
अन्तस्तल,,"15,22"
अन्तस्थ,,"15,22"
अन्ताक्षर,,"15,22"
अन्ताक्षरी,NN,"18,22,15"
अन्ति,,"15,22"
अन्तिम,AVP,"15,22"
अन्तिमम्याद,,"15,22"
अन्त्य,NN,"15,22"
अन्त्येष्टि,,"18,22,15"
अन्दाज,NN,"18,22,15"
अन्दाजी,,"15,22"
अन्ध,,32
अन्धकार,ADJ,"15,22"
अन्धकूप,,"18,22,15"
अन्धभक्त,,"18,22,15"
अन्धमुष्टि,,"15,22"
अन्धविश्वास,,"15,22"
अन्धो,ADJ,"15,22"
अन्धोपन,,"15,22"
अन्न,NN,"18,22,15"
अन्नत,ADJ,
अन्नतर,,
अन्नपात,,"15,22"
अन्नपूर्ण,NN,"15,22"
अन्नभण्डार,,"18,22,15"
अन्नमय,,
अन्नान,,"18,22,15"
अन्य,ADJ,
अन्यजातीय,,
अन्यथा,ADJ,
अन्याय,,"18,22,15"
अन्यायवाला,,
अन्यायी,,
अन्योन्य,,
अन्योन्याश्रित,,
अन्योल,ADJ,"18,22,15"
अन्योली,,
अन्वय,,"15,22"
अन्वर्थ,,
अन्वित,,
अन्वेशण,NN,"15,22"
अन्वेषक,,"18,22,15"
अन्वेषण,,"15,22"
अन्वेषी,,
अन्सारी,,"18,22,15"
अपकर्ता,,
अपकर्ष,,"15,22"
अपकर्षक,,
अपकार,,"15,22"
अपकारक,,
अपकारी,,
अपकीर्ति,,"18,22,15"
अपकृत,,
अपक्व,,
अपक्ष,,
अपक्षपात,,
अपगत,,
अपच,,"15,22"
अपचालक,,
अपचालित,,
अपजस,,"18,22,15"
अपजसे,,
अपजात,,
अपटु,,
अपठित,,
अपढ,,
अपढन्ता,,
अपत्यारिलो,,14
अपथ्य,,
अपदस्थ,,
अपनत्व,,"15,22"
अपभोगी,,
अपभ्रंश,,"15,22"
अपभ्रष्ट,,"18,22,15"
अपमान,,"18,22,15"
अपमानकारि,,
अपमानजनक,,
अपमानि,,
अपमानित,,
अपर,,
अपरतन्त्र,,
अपरम्पार,,"15,22"
अपराजिता,,"15,22"
अपराध,NN,"18,22,15"
अपराधी,,"18,27"
अपरान्ह,NN,"15,22"
अपरिचित,,
अपरिणामी,,
अपरिणीता,,
अपरिपक्व,,33
अपरिपक्वता,,
अपरिमित,,
अपरिमेय,,
अपरिवर्तनीय,,
अपरिवर्तित,,
अपरिवर्त्य,,
अपरिष्कृत,,
अपरिहार्य,,33
अपरिहार्यता,,
अपरीक्षित,,
अपरुष,,
अपरूप,,
अपरेटर,NN,"18,22,15"
अपरेटिङ,NN,"15,22"
अपरेसन,NN,"18,22,15"
अपर्झट,NN,
अपर्याप्त,,33
अपर्याप्तता,,
अपवर्त्य,,
अपवाद,NN,"15,22"
अपवादक,,
अपवित्र,,33
अपवित्रता,,
अपव्ययी,,
अपशोच,,"15,22"
अपश्री,,"15,22"
अपसव्य,,
अपसारक,,
अपसारित,,
अपसारी,,
अपसृत,,
अपसृता,,
अपसोच,NN,"15,22"
अपस्मार,,"15,22"
अपस्मारी,,
अपहत,,
अपहत्ते,NN,"15,22"
अपहरण,NN,"18,22,15"
अपहरणकारी,,
अपहसित,,
अपहारक,,
अपहृत,,
अपहेलन,,"18,22,15"
अपहेलना,,"18,22,15"
अपहेलित,,
अपाक,,"15,22"
अपाक्य,,
